title,employment_type,workplace_type,location,department,url,description,requirements,company,source,first_scraped_at,last_scraped_at,ignored
"Core Crew (Front Desk & Sales) - Rice Village, TX",Studio Support (Part-Time) /,On-site,"Houston, Texas",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/033fa516-6214-42e2-a645-8f0fcb660855,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
Full-Time Coach - Seattle,Coaching (Full-Time) /,On-site,"Seattle, Washington",Studios – Coaching /,https://jobs.lever.co/solidcore/c134376f-6e02-49f9-9b79-3e07ed821222,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Taking an active role in contributing to the cleanliness of the studio Helping to facilitate and participate in community building activities Community outreach Learning new techniques and best practices from the coach community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliability and professionalism Comfort on a mic leading a fast-paced class with loud music and a lot of energy in the room Prior group fitness experience is a plus, but not required Be available to coach  20  classes per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) Compensation: $48,000-$53,000 annually Monthly cell phone stipend 401k with employer match Health, dental, & vision insurance Flexible PTO Free drop in classes at [solidcore] And MORE",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Raleigh Iron Works, NC",Studio Support (Part-Time) /,On-site,"Raleigh, North Carolina",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/2743ef6d-718d-426b-8885-a88492e880fe,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $10.00/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - West Palm Beach, FL",Studio Support (Part-Time) /,On-site,"West Palm Beach, Florida",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/eec21e15-20fb-4c82-b82a-0d03fc326057,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15.00/hour plus opportunities to earn a sales commission Free drop-in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - The Woodlands, TX",Studio Support (Part-Time) /,On-site,"Houston, Texas",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/04516aee-f1c4-4c9c-a629-d1c1038e7de0,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Preston Hollow, TX",Studio Support (Part-Time) /,On-site,"Dallas, Texas",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/46e2c985-1e76-40c4-bbd6-b14844bacf9c,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Roslyn, NY",Studio Support (Part-Time) /,On-site,"Roslyn Heights, New York",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/57040cbf-9661-4e87-8193-a7e9b41036a1,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $17/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Plano, TX",Studio Support (Part-Time) /,On-site,"Plano, Texas",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/e9febb5c-8829-49f9-a313-1e7da1495757,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Head Coach & Community Manager - Newtown Square, PA",Studio Leadership (Full-Time) /,On-site,"Newtown Square, Pennsylvania",Field Leadership – Studio Leadership (HCCM) /,https://jobs.lever.co/solidcore/08fc7997-b6aa-4147-a603-0c6deccfeed6,"[solidcore] is looking for a Head Coach who is passionate about sharing the [solidcore] brand and workout. Reporting to the Area Manager, the Head Coach is responsible for various tasks that will not only support the Studio and its success, but also support [solidcore] as a company in our mission to be the fastest growing  and most successful boutique fitness studio. The Head Coach is expected to role model all of the qualities and attributes of an exceptional coach – the Head Coach is expected to coach an average of eleven (11) classes per week. Responsible for delivering a best in class experience, setting the standards for other coaches to aspire to. The Head Coach provides a high level of coach development, giving consistent feedback to their team with the ability to provide support in-studio throughout new coach trainings.","Serving as the [solidcore] studio’s lead coach, maintaining a full schedule of 11+ classes per week.  Serving as an example and setting the expectations for new and existing coaches. Delivering a best-in-class fitness and customer service experience consistent with [solidcore] standards. Meeting company utilization & retention expectations on both an individual level and for the studio as a whole. Taking direction from the Area Manager to assist with day-to-day operations of the studio. Lead outreach and marketing efforts as necessary to scout new clients and create long-term partnerships in the community. Providing coach development to a team of coaches, delivering informal/formal feedback & assisting new coach trainings with in-person support. Assisting as needed with responses to client requests and resolving concerns promptly and effectively.  Maintaining product knowledge for all studio retail operations, including class packages, current promotions, and apparel. Executing routine operational tasks including, but not limited to ordering supplies, conducting inventory, and maintaining sales logs.  Ensuring the studio and equipment remain impeccable and fully-functioning at all times. Other duties and projects as assigned and as needed.  This is a permanent, non-exempt, full-time position with an expected 40 hours per week (including classes coached). Flexible and variable availability including weekends & holidays with ability to accommodate coach training schedules & the fluctuating needs of the business.  Ability to lift / carry a minimum of 30 pounds. Proficiency in g-Suite and MS office, specifically excel and google sheets. Optimism and hard work with a love for health, fitness, and the [solidcore] workout. Passionate about helping others become the strongest version of themselves and achieve their goals. Passionate about building relationships and developing teams, creating an environment that fosters growth. Ability to thrive in a fast-paced, people-focused, entrepreneurial environment. 1-2 years prior group fitness experience.  Outgoing and personable with a desire to build relationships within and outside the [solidcore] community. Team player with a positive attitude. Genuine desire to inspire and motivate others. Reliable and professional. Comfortable on a mic leading a fast-paced class with loud music and lots of energy in the room. Ability to model the [solidcore] brand and culture and serve as a lead representative of the [solidcore] community. Superior client relations and communication skills. Competitive salary starting at $60,000.00 per year, based on experience Bonus eligibility based on performance Monthly cell phone stipend 401k with employer match Health, dental, & vision insurance Flexible PTO Free drop in classes at [solidcore] And MORE",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,
"Core Crew (Front Desk & Sales) - Perimeter, GA",Studio Support (Part-Time) /,On-site,"Atlanta, Georgia",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/af6e3546-0d2f-4db8-84e3-afbe54d03090,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $10/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Reston, VA",Studio Support (Part-Time) /,On-site,"Reston, Virginia",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/6798fea8-77c7-4ea5-90e0-2bd85a6b3a46,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Peachtree Corners, GA",Studio Support (Part-Time) /,On-site,"Peachtree Corners, Georgia",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/ffe50e04-3339-4e79-8b54-b92a4fe8f57b,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $10/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Core Crew (Front Desk & Sales) - Post Oak, TX",Studio Support (Part-Time) /,On-site,"Houston, Texas",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/404a8187-ca14-46b7-9b65-bf9e138dc916,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
