title,employment_type,workplace_type,location,department,url,description,requirements,company,source,scraped_at
"Core Crew (Front Desk & Sales) - Williamsburg, NY",Studio Support (Part-Time) /,On-site,"Brooklyn, New York",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/5bddec18-2dc8-4714-85cf-636cc96d1d5e,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $17/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:37.936725
"Core Crew (Front Desk & Sales) - Westport, CT",Studio Support (Part-Time) /,On-site,"Westport, Connecticut",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/c12c2c50-c672-4d09-8fa1-006eadb5d8d6,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.054851
"Core Crew (Front Desk & Sales) - Wexford, PA",Studio Support (Part-Time) /,On-site,"Wexford, Pennsylvania",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/4e77a1ca-d5b2-4fb8-bbd4-a2f3496c783b,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience. [solidcore] is looking for an energetic, outgoing, and personable individual to join our Wexford Core Crew team, providing front desk, administrative, and sales support to the Area Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Perform routine client-facing system tasks, including new account set-up, scheduling / canceling / rebooking classes, package purchases, and other general account needs as requested Tour prospective clients through the facility, explain the [solidcore] workout in detail (including the science), and demo the workout Regularly interact with clients and obtain, assess, and address information on client needs, expectations and levels of satisfaction; and respond to client requests and concerns promptly and effectively Maintain product knowledge for all studio retail operations, including class packages, apparel, and promotions Be of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assist the Area Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notify Area Manager and/or member of the studio management team of any employee or client complaints or grievances, and assist the Area Manager to respond appropriately Quickly address any maintenance or equipment issues that are visible to clients Communicate with studio leads via axel, phone, and email to generate sales Follow up with client lists in axel to meet monthly sales quota  Respond to client emails  Responsible for alerting coaches about client milestones and setting up the keychain and board for celebration High school education, some college preferred 1 year sales experience preferred MBO experience preferred Excellent interpersonal and communication skills Outstanding customer service skillsStrong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of timeAbility to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Passion for fitness, wellness, and the [solidcore] brand Ability to lift up to 30 pounds and walk through all areas of the studio  $12.00/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.082325
"Core Crew (Front Desk & Sales) - West Palm Beach, FL",Studio Support (Part-Time) /,On-site,"West Palm Beach, Florida",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/eec21e15-20fb-4c82-b82a-0d03fc326057,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15.00/hour plus opportunities to earn a sales commission Free drop-in classes",solidcore,lever,2025-06-25 10:36:38.185426
"Core Crew (Front Desk & Sales) - West LA, CA",Studio Support (Part-Time) /,On-site,"Los Angeles, California",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/0b9edaef-ee50-4159-9e21-3a741390d75a,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $18/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.202210
"Core Crew (Front Desk & Sales) - West Hollywood, CA",Studio Support (Part-Time) /,On-site,"Los Angeles, California",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/a05350a6-9eaf-4485-9460-e80c5911c0d6,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $19.08/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.308878
"Core Crew (Front Desk & Sales) - West Hartford, CT",Studio Support (Part-Time) /,On-site,"West Hartford, Connecticut",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/b35660ba-f8e3-4a3b-96b8-3a5894740057,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.381997
"Core Crew (Front Desk & Sales) - West End, DC",Studio Support (Part-Time) /,On-site,"Washington, District of Columbia",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/b1dc8124-a952-4dda-9e31-6728351dea86,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $17/hour Free drop in classes",solidcore,lever,2025-06-25 10:36:38.435055
Full-Time Coach - Maryland,Coaching (Full-Time) /,On-site,Maryland,Studios – Coaching /,https://jobs.lever.co/solidcore/51f9fbab-32d1-4f8d-861f-4996fb456b67,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Taking an active role in contributing to the cleanliness of the studio Helping to facilitate and participate in community building activities Community outreach Learning new techniques and best practices from the coach community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliability and professionalism Comfort on a mic leading a fast-paced class with loud music and a lot of energy in the room Prior group fitness experience is a plus, but not required Be available to coach 20 classes per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) Compensation: $45,000-$50,000 annually Monthly cell phone stipend 401k with employer match Health, dental, & vision insurance Flexible PTO Free drop in classes at [solidcore] And MORE",solidcore,lever,2025-06-25 10:36:38.484989
"Core Crew (Front Desk & Sales) - Upper West Side, NY",Studio Support (Part-Time) /,On-site,"Manhattan, New York",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/0e33f940-5509-4799-91b5-833be80f512f,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours $17.00/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.559731
"Core Crew (Front Desk & Sales) - Upper East Side, NY",Studio Support (Part-Time) /,On-site,"Manhattan, New York",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/c7b0c188-5ec4-4500-abf0-15d84e74a880,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours $17/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.632893
"Core Crew (Front Desk & Sales) - Tysons Corner, VA",Studio Support (Part-Time) /,On-site,"Tysons, Virginia",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/ed5032a8-ab85-4110-b7fd-e5279449a2c9,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $15/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:38.692248
"Core Crew (Front Desk & Sales) - Woodland Hills, CA",Studio Support (Part-Time) /,On-site,"Los Angeles, California",Studios – Support (Core Crew) /,https://jobs.lever.co/solidcore/81764e2a-7e97-44b3-8092-a37be3b61f44,"[solidcore] is looking for an energetic, outgoing, and personable individual to join our Core Crew team, providing front desk, administrative, and sales support to the Head Coach & Community Manager. This role is part time, with hours that vary based on studio schedule and needs. Core Crew members contribute to [solidcore]’s success by generating sales, promoting the studio and delivering a positive experience with professionalism and patience.","Bringing [solidcore]’s client experience acronym, CORE, to life by: C: connecting with a warm welcome and using the client’s name, O: opening up connections to the community, R: recognizing efforts in class, milestones, and achievements, and E: educating about offers and thanking them for coming  Regularly interacting with clients and obtaining, assessing, and addressing information on client needs, expectations and levels of satisfaction; and responding to client requests and concerns promptly and effectively Maintaining product knowledge for all studio retail operations, including class packages, beverages/towels, and promotions Performing routine client-facing system tasks, including new account set-up, scheduling / cancelling / rebooking classes, package purchases, and other general account needs as requested Being of service to our clients by being aware of studio issues, events, or schedule changes and communicating them to clients and [solidcore] team members as needed Assisting the Head Coach Community Manager, and Coaches in daily operations, including keeping the studio meticulously clean while working with our team to provide a superior experience to our clients, and other tasks or projects as needed Notifying the Head Coach Community Manager and/or member of the studio management team of any employee or client complaints or grievances, and assisting the Head Coach Community Manager to respond appropriately Quickly addressing any maintenance or equipment issues that are visible to clients Following up with client lists in Axle to meet monthly sales quota  Responding to client emails  Alerting coaches about client milestones and setting up the celebration board High school education, some college preferred This is a part-time hourly position  Ability to lift up to 30 pounds and walk through all areas of the studio  Ability to work a flexible schedule that meets the needs of the business, including mornings, evenings, holidays, weekends, and closing hours Excellent interpersonal and communication skills Outstanding customer service skills Strong organizational skills Careful attention to detail Must be willing to initiate tasks and perform duties without direction Ability to stand for long durations of time 1 year sales experience preferred MBO experience preferred Passion for fitness, wellness, and the [solidcore] brand $16-18/hour plus opportunities to earn sales commission Free drop in classes",solidcore,lever,2025-06-25 10:36:40.797709
